VehicleTask,From,Start,End,To,Distance,VehGrp,Type,Composition & Order,Direction
M007-072/B,RemGvw,6:11;15,20:20,RemGvw,517.319,MSG3,Pull-out,"M007-072/A,M007-072/B",CPB
M007-072/B,RemGvw,6:11;15,20:20,RemGvw,517.319,MSG3,Pull-in,"M007-072/B,M007-072/A",CPB
M007-073/A,RemGvw,6:35;45,24:54:00,RemGvw,626.99,HSG3,Pull-out,"M007-073/A,M007-073/B",KLZ2
M007-073/A,RemGvw,6:35;45,24:54:00,RemGvw,626.99,HSG3,Pull-in,M007-073/A,CPB
M007-073/B,RemGvw,6:35;45,25:40;15,RemGvw,660.181,HSG3,Pull-out,"M007-073/A,M007-073/B",KLZ2
M007-073/B,RemGvw,6:35;45,25:40;15,RemGvw,660.181,HSG3,Pull-in,M007-073/B,CPB
M007-074/A,RemGvw,6:42;15,25:44;30,RemGvw,684.116,HSG3,Pull-out,"M007-074/A,M007-074/B",CPB
M007-074/A,RemGvw,6:42;15,25:44;30,RemGvw,684.116,HSG3,Pull-in,"M007-074/B,M007-074/A",CPB
M007-074/B,RemGvw,6:42;15,25:44;30,RemGvw,684.116,HSG3,Pull-out,"M007-074/A,M007-074/B",CPB
M007-074/B,RemGvw,6:42;15,25:44;30,RemGvw,684.116,HSG3,Pull-in,"M007-074/B,M007-074/A",CPB
M007-075/A,RemGvw,6:55;45,19:03;30,RemGvw,418.642,HSG3,Pull-out,"M007-075/A,M007-075/B",KLZ2
M007-075/A,RemGvw,6:55;45,19:03;30,RemGvw,418.642,HSG3,Pull-in,"M007-075/A,M007-075/B",CPB
M007-075/B,RemGvw,6:55;45,19:03;30,RemGvw,418.642,HSG3,Pull-out,"M007-075/A,M007-075/B",KLZ2
M007-075/B,RemGvw,6:55;45,19:03;30,RemGvw,418.642,HSG3,Pull-in,"M007-075/A,M007-075/B",CPB
M008-081/A,RemGvw,5:16;15,25:34;45,RemGvw,709.932,MBOS,Pull-out,"M008-081/A,M008-081/B,M008-081/C",KLZ2
M008-081/A,RemGvw,5:16;15,25:34;45,RemGvw,709.932,MBOS,Pull-in,"M008-081/A,M008-081/B,M008-081/C",CPB
M008-081/B,RemGvw,5:16;15,25:34;45,RemGvw,709.932,MBOS,Pull-out,"M008-081/A,M008-081/B,M008-081/C",KLZ2
M008-081/B,RemGvw,5:16;15,25:34;45,RemGvw,709.932,MBOS,Pull-in,"M008-081/A,M008-081/B,M008-081/C",CPB
M008-081/C,RemGvw,5:16;15,25:34;45,RemGvw,709.932,MBOS,Pull-out,"M008-081/A,M008-081/B,M008-081/C",KLZ2
M008-081/C,RemGvw,5:16;15,25:34;45,RemGvw,709.932,MBOS,Pull-in,"M008-081/A,M008-081/B,M008-081/C",CPB
M008-082/A,RemGvw,5:25;45,19:11;45,RemGvw,486.956,MBOB,Pull-out,"M008-082/A,M008-082/B,M008-082/C",CPB
M008-082/A,RemGvw,5:25;45,19:11;45,RemGvw,486.956,MBOB,Pull-in,"M008-082/C,M008-082/B,M008-082/A",CPB
M008-082/B,RemGvw,5:25;45,19:11;45,RemGvw,486.956,MBOB,Pull-out,"M008-082/A,M008-082/B,M008-082/C",CPB
M008-082/B,RemGvw,5:25;45,19:11;45,RemGvw,486.956,MBOB,Pull-in,"M008-082/C,M008-082/B,M008-082/A",CPB
M008-082/C,RemGvw,5:25;45,19:11;45,RemGvw,486.956,MBOB,Pull-out,"M008-082/A,M008-082/B,M008-082/C",CPB
M008-082/C,RemGvw,5:25;45,19:11;45,RemGvw,486.956,MBOB,Pull-in,"M008-082/C,M008-082/B,M008-082/A",CPB
M008-083/A,RemGvw,05:41,24:51;45,RemGvw,666.761,MBOS,Pull-out,"M008-083/A,M008-083/B,M008-083/C",CPB
M008-083/A,RemGvw,05:41,24:51;45,RemGvw,666.761,MBOS,Pull-in,"M008-083/C,M008-083/B,M008-083/A",CPB
M008-083/B,RemGvw,05:41,24:51;45,RemGvw,666.761,MBOS,Pull-out,"M008-083/A,M008-083/B,M008-083/C",CPB
M008-083/B,RemGvw,05:41,24:51;45,RemGvw,666.761,MBOS,Pull-in,"M008-083/C,M008-083/B,M008-083/A",CPB
M008-083/C,RemGvw,05:41,24:51;45,RemGvw,666.761,MBOS,Pull-out,"M008-083/A,M008-083/B,M008-083/C",CPB
M008-083/C,RemGvw,05:41,24:51;45,RemGvw,666.761,MBOS,Pull-in,"M008-083/C,M008-083/B,M008-083/A",CPB
M008-084/A,AksP14,5:43;30,24:39;30,AksP14,660.646,MBOB,Pull-out,"M008-084/A,M008-084/B,M008-084/C",AKS
M008-084/A,AksP14,5:43;30,24:39;30,AksP14,660.646,MBOB,Pull-in,"M008-084/C,M008-084/B,M008-084/A",AKS
M008-084/B,AksP14,5:43;30,24:39;30,AksP14,660.646,MBOB,Pull-out,"M008-084/A,M008-084/B,M008-084/C",AKS
M008-084/B,AksP14,5:43;30,24:39;30,AksP14,660.646,MBOB,Pull-in,"M008-084/C,M008-084/B,M008-084/A",AKS
M008-084/C,AksP14,5:43;30,24:39;30,AksP14,660.646,MBOB,Pull-out,"M008-084/A,M008-084/B,M008-084/C",AKS
M008-084/C,AksP14,5:43;30,24:39;30,AksP14,660.646,MBOB,Pull-in,"M008-084/C,M008-084/B,M008-084/A",AKS
M008-085/A,RemGvw,05:56,19:41;45,RemGvw,486.956,MBOS,Pull-out,"M008-085/A,M008-085/B,M008-085/C",CPB
M008-085/A,RemGvw,05:56,19:41;45,RemGvw,486.956,MBOS,Pull-in,"M008-085/C,M008-085/B,M008-085/A",CPB
M008-085/B,RemGvw,05:56,19:41;45,RemGvw,486.956,MBOS,Pull-out,"M008-085/A,M008-085/B,M008-085/C",CPB
M008-085/B,RemGvw,05:56,19:41;45,RemGvw,486.956,MBOS,Pull-in,"M008-085/C,M008-085/B,M008-085/A",CPB
M008-085/C,RemGvw,05:56,19:41;45,RemGvw,486.956,MBOS,Pull-out,"M008-085/A,M008-085/B,M008-085/C",CPB
M008-085/C,RemGvw,05:56,19:41;45,RemGvw,486.956,MBOS,Pull-in,"M008-085/C,M008-085/B,M008-085/A",CPB
M008-086/A,RemGvw,6:01;30,24:24;30,AksP11,635.947,MBOS,Pull-out,"M008-086/A,M008-086/B,M008-086/C",KLZ2
M008-086/A,RemGvw,6:01;30,24:24;30,AksP11,635.947,MBOS,Pull-in,"M008-086/A,M008-086/B,M008-086/C",CPB
M008-086/B,RemGvw,6:01;30,24:24;30,AksP11,635.947,MBOS,Pull-out,"M008-086/A,M008-086/B,M008-086/C",KLZ2
M008-086/B,RemGvw,6:01;30,24:24;30,AksP11,635.947,MBOS,Pull-in,"M008-086/A,M008-086/B,M008-086/C",CPB
M008-086/C,RemGvw,6:01;30,24:24;30,AksP11,635.947,MBOS,Pull-out,"M008-086/A,M008-086/B,M008-086/C",KLZ2
M008-086/C,RemGvw,6:01;30,24:24;30,AksP11,635.947,MBOS,Pull-in,"M008-086/A,M008-086/B,M008-086/C",CPB
M008-087/A,AksP11,6:13;30,24:40;30,RemGvw,638.014,MBOS,Pull-out,"M008-087/A,M008-087/B,M008-087/C",AKS
M008-087/A,AksP11,6:13;30,24:40;30,RemGvw,638.014,MBOS,Pull-in,"M008-087/C,M008-087/B,M008-087/A",AKS
M008-087/B,AksP11,6:13;30,24:40;30,RemGvw,638.014,MBOS,Pull-out,"M008-087/A,M008-087/B,M008-087/C",AKS
M008-087/B,AksP11,6:13;30,24:40;30,RemGvw,638.014,MBOS,Pull-in,"M008-087/C,M008-087/B,M008-087/A",AKS
M008-087/C,AksP11,6:13;30,24:40;30,RemGvw,638.014,MBOS,Pull-out,"M008-087/A,M008-087/B,M008-087/C",AKS
M008-087/C,AksP11,6:13;30,24:40;30,RemGvw,638.014,MBOS,Pull-in,"M008-087/C,M008-087/B,M008-087/A",AKS
M008-088/A,AksP14,6:36;45,26:04;45,RemGvw,684.669,MBOB,Pull-out,"M008-088/A,M008-088/B,M008-088/C",AKS
M008-088/A,AksP14,6:36;45,26:04;45,RemGvw,684.669,MBOB,Pull-in,"M008-088/C,M008-088/B,M008-088/A",AKS
M008-088/B,AksP14,6:36;45,26:04;45,RemGvw,684.669,MBOB,Pull-out,"M008-088/A,M008-088/B,M008-088/C",AKS
M008-088/B,AksP14,6:36;45,26:04;45,RemGvw,684.669,MBOB,Pull-in,"M008-088/C,M008-088/B,M008-088/A",AKS
M008-088/C,AksP14,6:36;45,26:04;45,RemGvw,684.669,MBOB,Pull-out,"M008-088/A,M008-088/B,M008-088/C",AKS
M008-088/C,AksP14,6:36;45,26:04;45,RemGvw,684.669,MBOB,Pull-in,"M008-088/C,M008-088/B,M008-088/A",AKS
M008-089/A,RemGvw,6:37;30,19:30;15,AksP14,453.643,MBOB,Pull-out,"M008-089/A,M008-089/B,M008-089/C",CPB
M008-089/A,RemGvw,6:37;30,19:30;15,AksP14,453.643,MBOB,Pull-in,"M008-089/C,M008-089/B,M008-089/A",CPB
M008-089/B,RemGvw,6:37;30,19:30;15,AksP14,453.643,MBOB,Pull-out,"M008-089/A,M008-089/B,M008-089/C",CPB
M008-089/B,RemGvw,6:37;30,19:30;15,AksP14,453.643,MBOB,Pull-in,"M008-089/C,M008-089/B,M008-089/A",CPB
M008-089/C,RemGvw,6:37;30,19:30;15,AksP14,453.643,MBOB,Pull-out,"M008-089/A,M008-089/B,M008-089/C",CPB
M008-089/C,RemGvw,6:37;30,19:30;15,AksP14,453.643,MBOB,Pull-in,"M008-089/C,M008-089/B,M008-089/A",CPB
M008-090/A,AksP14,7:06;45,25:56;30,AksP14,660.67,MBOB,Pull-out,"M008-090/A,M008-090/B,M008-090/C",AKS
M008-090/A,AksP14,7:06;45,25:56;30,AksP14,660.67,MBOB,Pull-in,"M008-090/C,M008-090/B,M008-090/A",AKS
M008-090/B,AksP14,7:06;45,25:56;30,AksP14,660.67,MBOB,Pull-out,"M008-090/A,M008-090/B,M008-090/C",AKS
M008-090/B,AksP14,7:06;45,25:56;30,AksP14,660.67,MBOB,Pull-in,"M008-090/C,M008-090/B,M008-090/A",AKS
M008-090/C,AksP14,7:06;45,25:56;30,AksP14,660.67,MBOB,Pull-out,"M008-090/A,M008-090/B,M008-090/C",AKS
M008-090/C,AksP14,7:06;45,25:56;30,AksP14,660.67,MBOB,Pull-in,"M008-090/C,M008-090/B,M008-090/A",AKS
M009-001/A,RemWhv,5:13;30,08:56,RemWhv,105.371,MBOB,Pull-out,"M009-001/A,M009-001/B,M009-001/C",WHV1
M009-001/A,RemWhv,5:13;30,08:56,RemWhv,105.371,MBOB,Pull-in,"M009-001/C,M009-001/B,M009-001/A",WHV1
M009-001/B,RemWhv,5:13;30,08:56,RemWhv,105.371,MBOB,Pull-out,"M009-001/A,M009-001/B,M009-001/C",WHV1
M009-001/B,RemWhv,5:13;30,08:56,RemWhv,105.371,MBOB,Pull-in,"M009-001/C,M009-001/B,M009-001/A",WHV1
M009-001/C,RemWhv,5:13;30,08:56,RemWhv,105.371,MBOB,Pull-out,"M009-001/A,M009-001/B,M009-001/C",WHV1
M009-001/C,RemWhv,5:13;30,08:56,RemWhv,105.371,MBOB,Pull-in,"M009-001/C,M009-001/B,M009-001/A",WHV1
M009-002/A,RemWhv,5:28;30,24:29;15,RemWhv,598.786,MBOB,Pull-out,"M009-002/A,M009-002/B,M009-002/C",WHV1
M009-002/A,RemWhv,5:28;30,24:29;15,RemWhv,598.786,MBOB,Pull-in,"M009-002/A,M009-002/B,M009-002/C",WHV2
M009-002/B,RemWhv,5:28;30,24:29;15,RemWhv,598.786,MBOB,Pull-out,"M009-002/A,M009-002/B,M009-002/C",WHV1
M009-002/B,RemWhv,5:28;30,24:29;15,RemWhv,598.786,MBOB,Pull-in,"M009-002/A,M009-002/B,M009-002/C",WHV2
M009-002/C,RemWhv,5:28;30,24:29;15,RemWhv,598.786,MBOB,Pull-out,"M009-002/A,M009-002/B,M009-002/C",WHV1
M009-002/C,RemWhv,5:28;30,24:29;15,RemWhv,598.786,MBOB,Pull-in,"M009-002/A,M009-002/B,M009-002/C",WHV2
M009-003/A,RemWhv,05:36,26:02;45,RemWhv,644.457,MBOB,Pull-out,"M009-003/A,M009-003/B,M009-003/C",WHV2
