VehicleTask,From,Start,End,To,Distance,VehGrp,Type,Composition & Order,Direction
M007-065/B,RemGvw,7:47;45,25:23,RemGvw,621.769,HSG3,Pull-out,"M007-065/A,M007-065/B",KLZ2
M007-065/B,RemGvw,7:47;45,25:23,RemGvw,621.769,HSG3,Pull-in,M007-065/B,CPB
M007-066/A,RemGvw,7:54;30,24:45;30,RemGvw,555.731,HSG3,Pull-out,"M007-066/A,M007-066/B",CPB
M007-066/A,RemGvw,7:54;30,24:45;30,RemGvw,555.731,HSG3,Pull-in,M007-066/A,CPB
M007-066/B,RemGvw,7:54;30,24:30;30,RemGvw,555.731,HSG3,Pull-out,"M007-066/A,M007-066/B",CPB
M007-066/B,RemGvw,7:54;30,24:30;30,RemGvw,555.731,HSG3,Pull-in,M007-066/B,CPB
M008-081/A,RemGvw,7:44,24:39;30,AksP14,573.493,MBOB,Pull-out,"M008-081/A,M008-081/B,M008-081/C",CPB
M008-081/A,RemGvw,7:44,24:39;30,AksP14,573.493,MBOB,Pull-in,"M008-081/C,M008-081/B,M008-081/A",CPB
M008-081/B,RemGvw,7:44,24:39;30,AksP14,573.493,MBOB,Pull-out,"M008-081/A,M008-081/B,M008-081/C",CPB
M008-081/B,RemGvw,7:44,24:39;30,AksP14,573.493,MBOB,Pull-in,"M008-081/C,M008-081/B,M008-081/A",CPB
M008-081/C,RemGvw,7:44,24:39;30,AksP14,573.493,MBOB,Pull-out,"M008-081/A,M008-081/B,M008-081/C",CPB
M008-081/C,RemGvw,7:44,24:39;30,AksP14,573.493,MBOB,Pull-in,"M008-081/C,M008-081/B,M008-081/A",CPB
M008-082/A,RemGvw,7:44;15,24:24;30,AksP11,565.729,MBOS,Pull-out,"M008-082/A,M008-082/B,M008-082/C",KLZ2
M008-082/A,RemGvw,7:44;15,24:24;30,AksP11,565.729,MBOS,Pull-in,"M008-082/A,M008-082/B,M008-082/C",CPB
M008-082/B,RemGvw,7:44;15,24:24;30,AksP11,565.729,MBOS,Pull-out,"M008-082/A,M008-082/B,M008-082/C",KLZ2
