VehicleTask,From,Start,End,To,Distance,VehGrp,Type,Composition & Order,Direction
M007-065/B,RemGvw,6:16,20:39;45,RemGvw,492.165,HSG3,Pull-out,"M007-065/A,M007-065/B",KLZ2
M007-065/B,RemGvw,6:16,20:39;45,RemGvw,492.165,HSG3,Pull-in,"M007-065/A,M007-065/B",CPB
M007-066/A,RemGvw,6:18,20:17;15,RemGvw,499.312,HSG3,Pull-out,"M007-066/A,M007-066/B",KLZ2
M007-066/A,RemGvw,6:18,20:17;15,RemGvw,499.312,HSG3,Pull-in,"M007-066/A,M007-066/B",CPB
M007-066/B,RemGvw,6:18,20:17;15,RemGvw,499.312,HSG3,Pull-out,"M007-066/A,M007-066/B",KLZ2
M007-066/B,RemGvw,6:18,20:17;15,RemGvw,499.312,HSG3,Pull-in,"M007-066/A,M007-066/B",CPB
M007-067/A,RemGvw,6:26;15,19:46,RemGvw,453.706,HSG3,Pull-out,"M007-067/A,M007-067/B",CPB
M007-067/A,RemGvw,6:26;15,19:46,RemGvw,453.706,HSG3,Pull-in,"M007-067/B,M007-067/A",CPB
M007-067/B,RemGvw,6:26;15,19:46,RemGvw,453.706,HSG3,Pull-out,"M007-067/A,M007-067/B",CPB
M007-067/B,RemGvw,6:26;15,19:46,RemGvw,453.706,HSG3,Pull-in,"M007-067/B,M007-067/A",CPB
M007-068/A,RemGvw,6:41;15,21:09;45,RemGvw,518.242,HSG3,Pull-out,"M007-068/A,M007-068/B",CPB
M007-068/A,RemGvw,6:41;15,21:09;45,RemGvw,518.242,HSG3,Pull-in,"M007-068/B,M007-068/A",CPB
M007-068/B,RemGvw,6:41;15,21:09;45,RemGvw,518.242,HSG3,Pull-out,"M007-068/A,M007-068/B",CPB
M007-068/B,RemGvw,6:41;15,21:09;45,RemGvw,518.242,HSG3,Pull-in,"M007-068/B,M007-068/A",CPB
M007-069/A,RemGvw,6:43,26:07;30,RemGvw,663.024,HSG3,Pull-out,"M007-069/A,M007-069/B",KLZ2
M007-069/A,RemGvw,6:43,26:07;30,RemGvw,663.024,HSG3,Pull-in,M007-069/A,CPB
M007-069/B,RemGvw,6:43,26:22;30,RemGvw,663.024,HSG3,Pull-out,"M007-069/A,M007-069/B",KLZ2
M007-069/B,RemGvw,6:43,26:22;30,RemGvw,663.024,HSG3,Pull-in,M007-069/B,CPB
M007-070/A,RemGvw,10:10;15,19:33,RemGvw,343.664,MSG3,Pull-out,"M007-070/A,M007-070/B",KLZ2
M007-070/A,RemGvw,10:10;15,19:33,RemGvw,343.664,MSG3,Pull-in,"M007-070/A,M007-070/B",CPB
M007-070/B,RemGvw,10:10;15,19:33,RemGvw,343.664,MSG3,Pull-out,"M007-070/A,M007-070/B",KLZ2
M007-070/B,RemGvw,10:10;15,19:33,RemGvw,343.664,MSG3,Pull-in,"M007-070/A,M007-070/B",CPB
M007-071/A,RemGvw,10:42;30,18:33,RemGvw,276.703,MSG3,Pull-out,"M007-071/A,M007-071/B",CPB
M007-071/A,RemGvw,10:42;30,18:33,RemGvw,276.703,MSG3,Pull-in,"M007-071/B,M007-071/A",CPB
M007-071/B,RemGvw,10:42;30,18:33,RemGvw,276.703,MSG3,Pull-out,"M007-071/A,M007-071/B",CPB
M007-071/B,RemGvw,10:42;30,18:33,RemGvw,276.703,MSG3,Pull-in,"M007-071/B,M007-071/A",CPB
M007-072/A,RemGvw,10:55;15,19:04;15,RemGvw,279.128,MSG3,Pull-out,"M007-072/A,M007-072/B",KLZ2
M007-072/A,RemGvw,10:55;15,19:04;15,RemGvw,279.128,MSG3,Pull-in,"M007-072/A,M007-072/B",CPB
M007-072/B,RemGvw,10:55;15,19:04;15,RemGvw,279.128,MSG3,Pull-out,"M007-072/A,M007-072/B",KLZ2
M007-072/B,RemGvw,10:55;15,19:04;15,RemGvw,279.128,MSG3,Pull-in,"M007-072/A,M007-072/B",CPB
M007-073/A,RemGvw,11:12;15,20:03;30,RemGvw,298.058,MSG3,Pull-out,"M007-073/A,M007-073/B",CPB
M007-073/A,RemGvw,11:12;15,20:03;30,RemGvw,298.058,MSG3,Pull-in,"M007-073/B,M007-073/A",CPB
M007-073/B,RemGvw,11:12;15,20:03;30,RemGvw,298.058,MSG3,Pull-out,"M007-073/A,M007-073/B",CPB
M007-073/B,RemGvw,11:12;15,20:03;30,RemGvw,298.058,MSG3,Pull-in,"M007-073/B,M007-073/A",CPB
M008-081/A,RemGvw,6:01;30,25:56;30,AksP14,685.911,MBOB,Pull-out,"M008-081/A,M008-081/B,M008-081/C",KLZ2
M008-081/A,RemGvw,6:01;30,25:56;30,AksP14,685.911,MBOB,Pull-in,"M008-081/A,M008-081/B,M008-081/C",CPB
M008-081/B,RemGvw,6:01;30,25:56;30,AksP14,685.911,MBOB,Pull-out,"M008-081/A,M008-081/B,M008-081/C",KLZ2
M008-081/B,RemGvw,6:01;30,25:56;30,AksP14,685.911,MBOB,Pull-in,"M008-081/A,M008-081/B,M008-081/C",CPB
M008-081/C,RemGvw,6:01;30,25:56;30,AksP14,685.911,MBOB,Pull-out,"M008-081/A,M008-081/B,M008-081/C",KLZ2
M008-081/C,RemGvw,6:01;30,25:56;30,AksP14,685.911,MBOB,Pull-in,"M008-081/A,M008-081/B,M008-081/C",CPB
M008-082/A,RemGvw,6:28;45,18:42,RemGvw,427.01,MBOB,Pull-out,"M008-082/A,M008-082/B,M008-082/C",CPB
M008-082/A,RemGvw,6:28;45,18:42,RemGvw,427.01,MBOB,Pull-in,"M008-082/C,M008-082/B,M008-082/A",CPB
M008-082/B,RemGvw,6:28;45,18:42,RemGvw,427.01,MBOB,Pull-out,"M008-082/A,M008-082/B,M008-082/C",CPB
M008-082/B,RemGvw,6:28;45,18:42,RemGvw,427.01,MBOB,Pull-in,"M008-082/C,M008-082/B,M008-082/A",CPB
M008-082/C,RemGvw,6:28;45,18:42,RemGvw,427.01,MBOB,Pull-out,"M008-082/A,M008-082/B,M008-082/C",CPB
M008-082/C,RemGvw,6:28;45,18:42,RemGvw,427.01,MBOB,Pull-in,"M008-082/C,M008-082/B,M008-082/A",CPB
M008-083/A,AksP14,6:31;30,18:30;15,AksP14,420.893,MBOB,Pull-out,"M008-083/A,M008-083/B,M008-083/C",AKS
M008-083/A,AksP14,6:31;30,18:30;15,AksP14,420.893,MBOB,Pull-in,"M008-083/C,M008-083/B,M008-083/A",AKS
M008-083/B,AksP14,6:31;30,18:30;15,AksP14,420.893,MBOB,Pull-out,"M008-083/A,M008-083/B,M008-083/C",AKS
M008-083/B,AksP14,6:31;30,18:30;15,AksP14,420.893,MBOB,Pull-in,"M008-083/C,M008-083/B,M008-083/A",AKS
M008-083/C,AksP14,6:31;30,18:30;15,AksP14,420.893,MBOB,Pull-out,"M008-083/A,M008-083/B,M008-083/C",AKS
M008-083/C,AksP14,6:31;30,18:30;15,AksP14,420.893,MBOB,Pull-in,"M008-083/C,M008-083/B,M008-083/A",AKS
M008-084/A,RemGvw,6:43;30,24:40;30,RemGvw,611.145,MBOS,Pull-out,"M008-084/A,M008-084/B,M008-084/C",CPB
M008-084/A,RemGvw,6:43;30,24:40;30,RemGvw,611.145,MBOS,Pull-in,"M008-084/C,M008-084/B,M008-084/A",CPB
M008-084/B,RemGvw,6:43;30,24:40;30,RemGvw,611.145,MBOS,Pull-out,"M008-084/A,M008-084/B,M008-084/C",CPB
M008-084/B,RemGvw,6:43;30,24:40;30,RemGvw,611.145,MBOS,Pull-in,"M008-084/C,M008-084/B,M008-084/A",CPB
M008-084/C,RemGvw,6:43;30,24:40;30,RemGvw,611.145,MBOS,Pull-out,"M008-084/A,M008-084/B,M008-084/C",CPB
M008-084/C,RemGvw,6:43;30,24:40;30,RemGvw,611.145,MBOS,Pull-in,"M008-084/C,M008-084/B,M008-084/A",CPB
M008-085/A,RemGvw,6:49;30,26:04;45,RemGvw,659.935,MBOS,Pull-out,"M008-085/A,M008-085/B,M008-085/C",KLZ2
M008-085/A,RemGvw,6:49;30,26:04;45,RemGvw,659.935,MBOS,Pull-in,"M008-085/A,M008-085/B,M008-085/C",CPB
M008-085/B,RemGvw,6:49;30,26:04;45,RemGvw,659.935,MBOS,Pull-out,"M008-085/A,M008-085/B,M008-085/C",KLZ2
M008-085/B,RemGvw,6:49;30,26:04;45,RemGvw,659.935,MBOS,Pull-in,"M008-085/A,M008-085/B,M008-085/C",CPB
M008-085/C,RemGvw,6:49;30,26:04;45,RemGvw,659.935,MBOS,Pull-out,"M008-085/A,M008-085/B,M008-085/C",KLZ2
M008-085/C,RemGvw,6:49;30,26:04;45,RemGvw,659.935,MBOS,Pull-in,"M008-085/A,M008-085/B,M008-085/C",CPB
