VehicleTask,From,Start,End,To,Distance,VehGrp,Type,Composition & Order,Direction
M007-063/B,RemGvw,4:21,25:09,RemGvw,713.161,HSG3,Pull-in,M007-063/B,CPB
M007-064/A,RemGvw,4:47;45,21:17;15,RemGvw,601.337,MSG3,Pull-out,"M007-064/A,M007-064/B",KLZ2
M007-064/A,RemGvw,4:47;45,21:17;15,RemGvw,601.337,MSG3,Pull-in,"M007-064/A,M007-064/B",CPB
M007-064/B,RemGvw,4:47;45,21:17;15,RemGvw,601.337,MSG3,Pull-out,"M007-064/A,M007-064/B",KLZ2
M007-064/B,RemGvw,4:47;45,21:17;15,RemGvw,601.337,MSG3,Pull-in,"M007-064/A,M007-064/B",CPB
M007-065/A,RemGvw,5:11;30,24:45;30,RemGvw,690.024,HSG3,Pull-out,"M007-065/A,M007-065/B",CPB
M007-065/A,RemGvw,5:11;30,24:45;30,RemGvw,690.024,HSG3,Pull-in,M007-065/A,CPB
M007-065/B,RemGvw,5:11;30,24:30;30,RemGvw,690.024,HSG3,Pull-out,"M007-065/A,M007-065/B",CPB
M007-065/B,RemGvw,5:11;30,24:30;30,RemGvw,690.024,HSG3,Pull-in,M007-065/B,CPB
M007-066/A,RemGvw,5:12,24:48;45,RemGvw,667.113,HSG3,Pull-out,"M007-066/A,M007-066/B",KLZ2
M007-066/A,RemGvw,5:12,24:48;45,RemGvw,667.113,HSG3,Pull-in,M007-066/A,CPB
M007-066/B,RemGvw,5:12,25:54;15,RemGvw,712.362,HSG3,Pull-out,"M007-066/A,M007-066/B",KLZ2
M007-066/B,RemGvw,5:12,25:54;15,RemGvw,712.362,HSG3,Pull-in,M007-066/B,CPB
M007-067/A,RemGvw,5:17;30,19:46;45,RemGvw,504.533,HSG3,Pull-out,"M007-067/A,M007-067/B",KLZ2
M007-067/A,RemGvw,5:17;30,19:46;45,RemGvw,504.533,HSG3,Pull-in,"M007-067/A,M007-067/B",CPB
M007-067/B,RemGvw,5:17;30,19:46;45,RemGvw,504.533,HSG3,Pull-out,"M007-067/A,M007-067/B",KLZ2
M007-067/B,RemGvw,5:17;30,19:46;45,RemGvw,504.533,HSG3,Pull-in,"M007-067/A,M007-067/B",CPB
M007-068/A,RemGvw,5:24;15,25:15;30,RemGvw,662.977,HSG3,Pull-out,"M007-068/A,M007-068/B",CPB
M007-068/A,RemGvw,5:24;15,25:15;30,RemGvw,662.977,HSG3,Pull-in,M007-068/A,CPB
M007-068/B,RemGvw,5:24;15,25:00;30,RemGvw,662.977,HSG3,Pull-out,"M007-068/A,M007-068/B",CPB
M007-068/B,RemGvw,5:24;15,25:00;30,RemGvw,662.977,HSG3,Pull-in,M007-068/B,CPB
M007-069/A,RemGvw,5:32;45,19:33;15,RemGvw,515.446,MSG3,Pull-out,"M007-069/A,M007-069/B",KLZ2
M007-069/A,RemGvw,5:32;45,19:33;15,RemGvw,515.446,MSG3,Pull-in,"M007-069/A,M007-069/B",CPB
M007-069/B,RemGvw,5:32;45,19:33;15,RemGvw,515.446,MSG3,Pull-out,"M007-069/A,M007-069/B",KLZ2
M007-069/B,RemGvw,5:32;45,19:33;15,RemGvw,515.446,MSG3,Pull-in,"M007-069/A,M007-069/B",CPB
M007-070/A,RemGvw,5:39;15,20:47;15,RemGvw,534.376,HSG3,Pull-out,"M007-070/A,M007-070/B",CPB
M007-070/A,RemGvw,5:39;15,20:47;15,RemGvw,534.376,HSG3,Pull-in,"M007-070/B,M007-070/A",CPB
M007-070/B,RemGvw,5:39;15,20:47;15,RemGvw,534.376,HSG3,Pull-out,"M007-070/A,M007-070/B",CPB
M007-070/B,RemGvw,5:39;15,20:47;15,RemGvw,534.376,HSG3,Pull-in,"M007-070/B,M007-070/A",CPB
M007-071/A,RemGvw,5:55;15,20:03;30,RemGvw,488.399,HSG3,Pull-out,"M007-071/A,M007-071/B",KLZ2
M007-071/A,RemGvw,5:55;15,20:03;30,RemGvw,488.399,HSG3,Pull-in,"M007-071/A,M007-071/B",CPB
M007-071/B,RemGvw,5:55;15,20:03;30,RemGvw,488.399,HSG3,Pull-out,"M007-071/A,M007-071/B",KLZ2
M007-071/B,RemGvw,5:55;15,20:03;30,RemGvw,488.399,HSG3,Pull-in,"M007-071/A,M007-071/B",CPB
M007-072/A,RemGvw,6:10;30,20:18;30,RemGvw,515.446,HSG3,Pull-out,"M007-072/A,M007-072/B",KLZ2
M007-072/A,RemGvw,6:10;30,20:18;30,RemGvw,515.446,HSG3,Pull-in,"M007-072/A,M007-072/B",CPB
M007-072/B,RemGvw,6:10;30,20:18;30,RemGvw,515.446,HSG3,Pull-out,"M007-072/A,M007-072/B",KLZ2
M007-072/B,RemGvw,6:10;30,20:18;30,RemGvw,515.446,HSG3,Pull-in,"M007-072/A,M007-072/B",CPB
M007-073/A,RemGvw,6:11;15,20:20,RemGvw,517.319,MSG3,Pull-out,"M007-073/A,M007-073/B",CPB
M007-073/A,RemGvw,6:11;15,20:20,RemGvw,517.319,MSG3,Pull-in,"M007-073/B,M007-073/A",CPB
M007-073/B,RemGvw,6:11;15,20:20,RemGvw,517.319,MSG3,Pull-out,"M007-073/A,M007-073/B",CPB
M007-073/B,RemGvw,6:11;15,20:20,RemGvw,517.319,MSG3,Pull-in,"M007-073/B,M007-073/A",CPB
M007-074/A,RemGvw,6:42;15,21:32;15,RemGvw,518.242,HSG3,Pull-out,"M007-074/A,M007-074/B",CPB
M007-074/A,RemGvw,6:42;15,21:32;15,RemGvw,518.242,HSG3,Pull-in,M007-074/A,CPB
M007-074/B,RemGvw,6:42;15,25:23,RemGvw,672.967,HSG3,Pull-out,"M007-074/A,M007-074/B",CPB
M007-074/B,RemGvw,6:42;15,25:23,RemGvw,672.967,HSG3,Pull-in,M007-074/B,CPB
M007-075/A,RemGvw,6:55,19:03;30,RemGvw,418.642,MSG3,Pull-out,"M007-075/A,M007-075/B",KLZ2
M007-075/A,RemGvw,6:55,19:03;30,RemGvw,418.642,MSG3,Pull-in,"M007-075/A,M007-075/B",CPB
M007-075/B,RemGvw,6:55,19:03;30,RemGvw,418.642,MSG3,Pull-out,"M007-075/A,M007-075/B",KLZ2
M007-075/B,RemGvw,6:55,19:03;30,RemGvw,418.642,MSG3,Pull-in,"M007-075/A,M007-075/B",CPB
M008-081/A,RemGvw,5:15;30,24:54;30,AksP14,685.922,MBOB,Pull-out,"M008-081/A,M008-081/B,M008-081/C",KLZ2
M008-081/A,RemGvw,5:15;30,24:54;30,AksP14,685.922,MBOB,Pull-in,"M008-081/A,M008-081/B,M008-081/C",CPB
M008-081/B,RemGvw,5:15;30,24:54;30,AksP14,685.922,MBOB,Pull-out,"M008-081/A,M008-081/B,M008-081/C",KLZ2
M008-081/B,RemGvw,5:15;30,24:54;30,AksP14,685.922,MBOB,Pull-in,"M008-081/A,M008-081/B,M008-081/C",CPB
M008-081/C,RemGvw,5:15;30,24:54;30,AksP14,685.922,MBOB,Pull-out,"M008-081/A,M008-081/B,M008-081/C",KLZ2
M008-081/C,RemGvw,5:15;30,24:54;30,AksP14,685.922,MBOB,Pull-in,"M008-081/A,M008-081/B,M008-081/C",CPB
M008-082/A,RemGvw,5:25;45,19:11;45,RemGvw,486.956,MBOS,Pull-out,"M008-082/A,M008-082/B,M008-082/C",CPB
M008-082/A,RemGvw,5:25;45,19:11;45,RemGvw,486.956,MBOS,Pull-in,"M008-082/C,M008-082/B,M008-082/A",CPB
M008-082/B,RemGvw,5:25;45,19:11;45,RemGvw,486.956,MBOS,Pull-out,"M008-082/A,M008-082/B,M008-082/C",CPB
M008-082/B,RemGvw,5:25;45,19:11;45,RemGvw,486.956,MBOS,Pull-in,"M008-082/C,M008-082/B,M008-082/A",CPB
M008-082/C,RemGvw,5:25;45,19:11;45,RemGvw,486.956,MBOS,Pull-out,"M008-082/A,M008-082/B,M008-082/C",CPB
M008-082/C,RemGvw,5:25;45,19:11;45,RemGvw,486.956,MBOS,Pull-in,"M008-082/C,M008-082/B,M008-082/A",CPB
M008-083/A,RemGvw,5:41,24:51;45,RemGvw,666.761,MBOS,Pull-out,"M008-083/A,M008-083/B,M008-083/C",CPB
M008-083/A,RemGvw,5:41,24:51;45,RemGvw,666.761,MBOS,Pull-in,"M008-083/C,M008-083/B,M008-083/A",CPB
M008-083/B,RemGvw,5:41,24:51;45,RemGvw,666.761,MBOS,Pull-out,"M008-083/A,M008-083/B,M008-083/C",CPB
M008-083/B,RemGvw,5:41,24:51;45,RemGvw,666.761,MBOS,Pull-in,"M008-083/C,M008-083/B,M008-083/A",CPB
M008-083/C,RemGvw,5:41,24:51;45,RemGvw,666.761,MBOS,Pull-out,"M008-083/A,M008-083/B,M008-083/C",CPB
M008-083/C,RemGvw,5:41,24:51;45,RemGvw,666.761,MBOS,Pull-in,"M008-083/C,M008-083/B,M008-083/A",CPB
M008-084/A,AksP14,5:43;30,24:39;30,AksP14,660.646,MBOB,Pull-out,"M008-084/A,M008-084/B,M008-084/C",AKS
M008-084/A,AksP14,5:43;30,24:39;30,AksP14,660.646,MBOB,Pull-in,"M008-084/C,M008-084/B,M008-084/A",AKS
